show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,Duration in Mins,First Category,Murder Mystery?
s4257,TV Show,Murder Mountain,N/A,,United States,"Friday, 28 December 2018",2018,TV-MA,1 Season,"Crime TV Shows, Docuseries",,Crime TV Shows,No
s4267,TV Show,7 Days Out,N/A,,United States,"Friday, 21 December 2018",2018,TV-PG,1 Season,Docuseries,,Docuseries,No
s4373,TV Show,Paap-O-Meter,N/A,,United States,"Tuesday, 20 November 2018",2017,TV-Y7,1 Season,"Kids' TV, TV Comedies",,Kids' TV,No
s4409,TV Show,Westside,N/A,,United States,"Friday, 9 November 2018",2018,TV-MA,1 Season,Reality TV,,Reality TV,No
s4622,TV Show,Made in Mexico,N/A,,United States,"Friday, 28 September 2018",2018,TV-MA,1 Season,"International TV Shows, Reality TV, Spanish-Language TV Shows",,International TV Shows,No
s4628,TV Show,Battlefish,N/A,,United States,"Friday, 21 September 2018",2018,TV-MA,1 Season,"Reality TV, Science & Nature TV, TV Action & Adventure",,Reality TV,No
s4638,TV Show,Boca Juniors Confidential,N/A,,United States,"Friday, 14 September 2018",2018,TV-PG,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows",,Docuseries,No
s4640,TV Show,Norm Macdonald Has a Show,N/A,,United States,"Friday, 14 September 2018",2018,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",,Stand-Up Comedy & Talk Shows,No
s4655,TV Show,First and Last,N/A,,United States,"Friday, 7 September 2018",2018,TV-MA,1 Season,Docuseries,,Docuseries,No
s4683,TV Show,Chicken Soup for the Soul's Being Dad,N/A,,United States,"Monday, 27 August 2018",2018,TV-MA,1 Season,Docuseries,,Docuseries,No
s4704,TV Show,Afflicted,N/A,,United States,"Friday, 10 August 2018",2018,TV-MA,1 Season,"Docuseries, Reality TV, Science & Nature TV",,Docuseries,No
s4847,TV Show,The Break with Michelle Wolf,N/A,,United States,"Sunday, 27 May 2018",2018,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",,Stand-Up Comedy & Talk Shows,No
s4981,TV Show,Wild Wild Country,N/A,,United States,"Friday, 16 March 2018",2018,TV-MA,1 Season,"Crime TV Shows, Docuseries",,Crime TV Shows,No
s5001,TV Show,Flint Town,N/A,,United States,"Friday, 2 March 2018",2018,TV-MA,1 Season,"Docuseries, Science & Nature TV",,Docuseries,No
s5169,TV Show,Shot in the Dark,N/A,,United States,"Friday, 17 November 2017",2017,TV-MA,1 Season,Reality TV,,Reality TV,No
